timestamp=2024-08-11T10:52:11.063857, cpu_temp=71.984, battery_percentage=0, battery_voltage_now=2.90938, battery_voltage_avg=2.90938, battery_current_now=0.0, battery_current_avg=0.0, charger_voltage_now=5.35156, charger_current_now=0.67
timestamp=2024-08-11T10:52:26.105833, cpu_temp=71.984, battery_percentage=0, battery_voltage_now=2.90938, battery_voltage_avg=2.89545, battery_current_now=0.0, battery_current_avg=0.116, charger_voltage_now=4.59726, charger_current_now=0.562
timestamp=2024-08-11T10:52:40.989358, cpu_temp=72.522, battery_percentage=0, battery_voltage_now=2.91535, battery_voltage_avg=2.90938, battery_current_now=0.116, battery_current_avg=0.0, charger_voltage_now=6.09792, charger_current_now=0.558
timestamp=2024-08-11T10:52:55.643387, cpu_temp=72.522, battery_percentage=0, battery_voltage_now=2.89943, battery_voltage_avg=2.91535, battery_current_now=0.116, battery_current_avg=0.116, charger_voltage_now=6.33215, charger_current_now=0.39
timestamp=2024-08-11T10:53:10.960846, cpu_temp=71.984, battery_percentage=0, battery_voltage_now=2.89943, battery_voltage_avg=2.91535, battery_current_now=0.116, battery_current_avg=0.116, charger_voltage_now=6.33215, charger_current_now=0.39
timestamp=2024-08-11T10:53:26.125152, cpu_temp=71.984, battery_percentage=0, battery_voltage_now=2.89943, battery_voltage_avg=2.89545, battery_current_now=0.116, battery_current_avg=0.116, charger_voltage_now=6.16541, charger_current_now=0.552
timestamp=2024-08-11T10:53:40.763745, cpu_temp=71.446, battery_percentage=0, battery_voltage_now=2.91137, battery_voltage_avg=2.91535, battery_current_now=0.0, battery_current_avg=0.116, charger_voltage_now=5.80811, charger_current_now=0.646
timestamp=2024-08-11T10:53:56.096146, cpu_temp=71.984, battery_percentage=0, battery_voltage_now=2.91336, battery_voltage_avg=2.91535, battery_current_now=0.116, battery_current_avg=0.0, charger_voltage_now=6.46713, charger_current_now=0.436
timestamp=2024-08-11T10:54:11.083965, cpu_temp=71.446, battery_percentage=0, battery_voltage_now=2.91137, battery_voltage_avg=2.91535, battery_current_now=0.0, battery_current_avg=0.0, charger_voltage_now=4.65681, charger_current_now=0.67
timestamp=2024-08-11T10:54:26.412657, cpu_temp=71.446, battery_percentage=0, battery_voltage_now=2.91336, battery_voltage_avg=2.91137, battery_current_now=0.116, battery_current_avg=0.0, charger_voltage_now=6.01852, charger_current_now=0.0
